Company Name,Industry,ISIN Code
Adani Ports and Special Economic Zone Ltd.,SERVICES,INE742F01042
Asian Paints Ltd.,CONSUMER GOODS,INE021A01026
Axis Bank Ltd.,FINANCIAL SERVICES,INE238A01034
Bajaj Auto Ltd.,AUTOMOBILE,INE917I01010
Bajaj Finserv Ltd.,FINANCIAL SERVICES,INE918I01018
Bajaj Finance Ltd.,FINANCIAL SERVICES,INE296A01024
Bharti Airtel Ltd.,TELECOM,INE397D01024
Bharat Petroleum Corporation Ltd.,ENERGY,INE029A01011
Britannia Industries Ltd.,CONSUMER GOODS,INE216A01030
Cipla Ltd.,PHARMA,INE059A01026
Coal India Ltd.,METALS,INE522F01014
Dr. Reddy's Laboratories Ltd.,PHARMA,INE089A01023
Eicher Motors Ltd.,AUTOMOBILE,INE066A01013
GAIL (India) Ltd.,ENERGY,INE129A01019
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,INE047A01021
HCL Technologies Ltd.,IT,INE860A01027
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,INE001A01036
HDFC Bank Ltd.,FINANCIAL SERVICES,INE040A01034
Hero MotoCorp Ltd.,AUTOMOBILE,INE158A01026
Hindalco Industries Ltd.,METALS,INE038A01020
Hindustan Unilever Ltd.,CONSUMER GOODS,INE030A01027
ICICI Bank Ltd.,FINANCIAL SERVICES,INE090A01021
IndusInd Bank Ltd.,FINANCIAL SERVICES,INE095A01012
Bharti Infratel Ltd.,TELECOM,INE121J01017
Infosys Ltd.,IT,INE009A01021
Indian Oil Corporation Ltd.,ENERGY,INE242A01010
ITC Ltd.,CONSUMER GOODS,INE154A01025
JSW Steel Ltd.,METALS,INE019A01038
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,INE237A01028
Larsen & Toubro Ltd.,CONSTRUCTION,INE018A01030
Mahindra & Mahindra Ltd.,AUTOMOBILE,INE101A01026
Maruti Suzuki India Ltd.,AUTOMOBILE,INE585B01010
Nestle India Ltd.,CONSUMER GOODS,INE239A01016
NTPC Ltd.,ENERGY,INE733E01010
Oil & Natural Gas Corporation Ltd.,ENERGY,INE213A01029
Power Grid Corporation of India Ltd.,ENERGY,INE752E01010
Reliance Industries Ltd.,ENERGY,INE002A01018
State Bank of India,FINANCIAL SERVICES,INE062A01020
Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,INE070A01015
Sun Pharmaceutical Industries Ltd.,PHARMA,INE044A01036
Tata Motors Ltd.,AUTOMOBILE,INE155A01022
Tata Steel Ltd.,METALS,INE081A01012
Tata Consultancy Services Ltd.,IT,INE467B01029
Tech Mahindra Ltd.,IT,INE669C01036
Titan Company Ltd.,CONSUMER GOODS,INE280A01028
UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,INE481G01011
UPL Ltd.,FERTILISERS & PESTICIDES,INE628A01036
Vedanta Ltd.,METALS,INE205A01025
Wipro Ltd.,IT,INE075A01022
Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,INE256A01028
